Región;País;Rango de Edad;Profesión;Clase Social; Ingresos Anuales (USD) ;Invierte;Instrumento de Inversión
Europa;Francia;66+;Empresario;Alta; $ 184.954,67 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;46-55;Ingeniero;Baja; $ 19.378,13 ;Si;Bienes Raíces
Europa;Francia;46-55;Funcionario;Media; $ 31.518,83 ;No;No invierte
Europa;Alemania;66+;Desarrollador;Media; $ 59.637,73 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Contador;Alta; $ 441.778,75 ;Si;Fondos de inversiÃ³n
Europa;Alemania;36-45;Funcionario;Baja; $ 12.685,30 ;Si;Criptomonedas
América Latina;Argentina;66+;Científico;Baja; $ 10.884,93 ;Si;Fondos de inversiÃ³n
Europa;Italia;56-65;Docente;Media; $ 75.902,98 ;Si;Bonos
América Latina;Brasil;66+;Artista;Alta; $ 353.390,59 ;Si;No invierte
Europa;Países Bajos;66+;Desarrollador;Baja; $ 5.835,89 ;Si;Fondos de inversiÃ³n
Europa;Francia;18-25;Artista;Media; $ 58.484,31 ;Si;Bonos
América Latina;Argentina;36-45;Médico;Baja; $ 9.487,19 ;Si;Bonos
Europa;Francia;18-25;Abogado;Media; $ 24.758,80 ;Si;No invierte
América Latina;México;36-45;Médico;Baja; $ 19.641,75 ;Si;Bienes Raíces
Europa;Países Bajos;26-35;Docente;Baja; $ 19.352,01 ;No;No invierte
América Latina;Perú;36-45;Funcionario;Alta; $ 113.949,28 ;Si;Criptomonedas
Europa;Países Bajos;46-55;Empresario;Media; $ 63.528,60 ;Si;Criptomonedas
Europa;Países Bajos;56-65;Abogado;Baja; $ 10.039,62 ;Si;Oro
América Latina;Perú;66+;Docente;Baja; $ 19.917,20 ;Si;Bonos
Europa;Reino Unido;56-65;Abogado;Alta; $ 192.874,29 ;Si;Oro
Europa;Francia;66+;Artista;Baja; $ 19.302,43 ;Si;Oro
América Latina;Colombia;56-65;Médico;Alta; $ 118.017,62 ;No;No invierte
América Latina;Perú;18-25;Contador;Baja; $ 7.078,56 ;Si;Acciones
América Latina;México;66+;Empresario;Baja; $ 17.373,68 ;Si;Acciones
América Latina;Brasil;18-25;Empresario;Alta; $ 271.716,91 ;Si;Bonos
Europa;Italia;18-25;Funcionario;Alta; $ 342.396,99 ;Si;No invierte
NorteAmérica;EE.UU.;26-35;Médico;Media; $ 31.821,70 ;No;No invierte
América Latina;Colombia;56-65;Médico;Media; $ 62.405,43 ;No;No invierte
Europa;España;66+;Empresario;Alta; $ 425.778,97 ;Si;No invierte
América Latina;Chile;46-55;Funcionario;Media; $ 51.792,61 ;No;No invierte
Europa;Países Bajos;56-65;Desarrollador;Media; $ 21.069,26 ;Si;Oro
América Latina;Argentina;36-45;Docente;Media; $ 50.292,36 ;Si;Bonos
América Latina;Argentina;56-65;Funcionario;Alta; $ 323.841,38 ;Si;No invierte
América Latina;Chile;56-65;Contador;Alta; $ 361.305,86 ;No;No invierte
América Latina;Brasil;56-65;Docente;Alta; $ 451.594,89 ;Si;Bonos
Europa;Alemania;26-35;Funcionario;Baja; $ 17.504,88 ;Si;No invierte
NorteAmérica;Canadá;36-45;Abogado;Media; $ 43.946,42 ;Si;Bonos
NorteAmérica;EE.UU.;46-55;Abogado;Alta; $ 308.536,10 ;Si;Oro
NorteAmérica;Canadá;26-35;Abogado;Baja; $ 13.052,94 ;Si;Criptomonedas
NorteAmérica;Canadá;36-45;Funcionario;Baja; $ 19.343,01 ;Si;Fondos de inversiÃ³n
Europa;Alemania;36-45;Abogado;Alta; $ 498.332,23 ;Si;Oro
América Latina;Chile;36-45;Abogado;Media; $ 65.120,00 ;Si;Bonos
América Latina;Argentina;66+;Docente;Media; $ 41.798,22 ;Si;Bonos
Europa;Alemania;56-65;Funcionario;Media; $ 56.004,53 ;Si;Criptomonedas
NorteAmérica;EE.UU.;36-45;Empresario;Alta; $ 475.182,48 ;Si;Bienes Raíces
NorteAmérica;Canadá;66+;Contador;Baja; $ 14.009,51 ;Si;No invierte
Europa;Francia;26-35;Abogado;Media; $ 70.389,02 ;Si;Criptomonedas
América Latina;Argentina;26-35;Ingeniero;Alta; $ 454.997,17 ;Si;Oro
NorteAmérica;Canadá;36-45;Científico;Media; $ 60.314,53 ;Si;Bonos
América Latina;Perú;56-65;Empresario;Alta; $ 315.378,27 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;56-65;Ingeniero;Media; $ 28.603,93 ;Si;Oro
América Latina;Argentina;46-55;Médico;Alta; $ 431.864,16 ;Si;Acciones
Europa;Italia;66+;Desarrollador;Alta; $ 450.814,52 ;Si;Bienes Raíces
Europa;Italia;66+;Desarrollador;Baja; $ 11.293,26 ;No;No invierte
Europa;España;26-35;Contador;Alta; $ 126.025,72 ;Si;No invierte
Europa;Países Bajos;36-45;Desarrollador;Baja; $ 16.975,80 ;Si;Oro
América Latina;Argentina;46-55;Médico;Media; $ 54.090,85 ;Si;Fondos de inversiÃ³n
Europa;Italia;18-25;Empresario;Baja; $ 18.403,89 ;Si;No invierte
América Latina;Chile;36-45;Contador;Alta; $ 390.472,20 ;No;No invierte
NorteAmérica;EE.UU.;56-65;Docente;Media; $ 74.808,50 ;No;No invierte
NorteAmérica;EE.UU.;56-65;Abogado;Baja; $ 5.289,83 ;Si;No invierte
Europa;España;46-55;Docente;Media; $ 42.754,60 ;Si;Acciones
América Latina;Chile;56-65;Docente;Baja; $ 17.979,80 ;Si;No invierte
Europa;Reino Unido;66+;Contador;Media; $ 33.257,63 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;46-55;Docente;Alta; $ 497.208,33 ;Si;Oro
Europa;Francia;36-45;Desarrollador;Baja; $ 12.036,34 ;Si;Oro
América Latina;Chile;56-65;Empresario;Baja; $ 15.863,99 ;Si;Bienes Raíces
América Latina;Argentina;46-55;Contador;Alta; $ 476.763,69 ;Si;Bienes Raíces
NorteAmérica;Canadá;26-35;Abogado;Media; $ 70.064,26 ;No;No invierte
Europa;España;18-25;Funcionario;Baja; $ 9.578,37 ;Si;Oro
Europa;Francia;56-65;Médico;Media; $ 65.430,03 ;No;No invierte
Europa;Alemania;18-25;Desarrollador;Baja; $ 13.204,12 ;Si;Acciones
América Latina;Argentina;66+;Científico;Baja; $ 9.161,73 ;Si;Bonos
América Latina;Brasil;18-25;Médico;Media; $ 34.773,19 ;Si;No invierte
NorteAmérica;Canadá;66+;Artista;Baja; $ 14.059,54 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;66+;Médico;Alta; $ 122.705,85 ;Si;Oro
Europa;Alemania;36-45;Científico;Alta; $ 270.837,67 ;Si;No invierte
Europa;Alemania;36-45;Científico;Baja; $ 17.232,54 ;No;No invierte
América Latina;Brasil;66+;Científico;Alta; $ 366.424,15 ;Si;Criptomonedas
América Latina;Perú;66+;Médico;Media; $ 33.136,46 ;Si;Bienes Raíces
América Latina;México;46-55;Artista;Alta; $ 161.062,50 ;No;No invierte
NorteAmérica;EE.UU.;56-65;Funcionario;Media; $ 63.333,43 ;Si;No invierte
América Latina;Perú;26-35;Contador;Baja; $ 7.798,60 ;No;No invierte
América Latina;Perú;18-25;Ingeniero;Baja; $ 10.564,95 ;No;No invierte
Europa;Países Bajos;18-25;Científico;Media; $ 62.469,62 ;Si;Oro
América Latina;Perú;46-55;Contador;Media; $ 42.852,13 ;No;No invierte
América Latina;Colombia;26-35;Desarrollador;Media; $ 32.586,52 ;No;No invierte
NorteAmérica;Canadá;46-55;Médico;Alta; $ 448.298,80 ;No;No invierte
América Latina;México;66+;Funcionario;Media; $ 75.028,08 ;No;No invierte
Europa;Francia;26-35;Médico;Alta; $ 231.920,05 ;No;No invierte
Europa;Italia;56-65;Docente;Alta; $ 106.527,64 ;Si;Oro
Europa;España;46-55;Contador;Media; $ 67.624,68 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Desarrollador;Alta; $ 262.740,53 ;Si;Criptomonedas
América Latina;Chile;56-65;Empresario;Media; $ 53.675,41 ;Si;Oro
NorteAmérica;EE.UU.;18-25;Funcionario;Alta; $ 390.673,15 ;Si;Bienes Raíces
Europa;España;36-45;Ingeniero;Alta; $ 318.004,53 ;No;No invierte
Europa;Italia;36-45;Docente;Alta; $ 394.276,36 ;Si;Oro
NorteAmérica;EE.UU.;56-65;Científico;Baja; $ 8.928,55 ;Si;Oro
NorteAmérica;Canadá;56-65;Funcionario;Media; $ 75.344,36 ;No;No invierte
América Latina;México;56-65;Docente;Alta; $ 487.169,13 ;Si;Oro
América Latina;Brasil;46-55;Contador;Baja; $ 14.982,26 ;No;No invierte
NorteAmérica;Canadá;56-65;Docente;Media; $ 29.327,48 ;No;No invierte
NorteAmérica;Canadá;56-65;Empresario;Baja; $ 12.400,95 ;Si;No invierte
NorteAmérica;EE.UU.;46-55;Médico;Baja; $ 13.897,03 ;No;No invierte
Europa;Países Bajos;66+;Funcionario;Media; $ 54.131,60 ;Si;Acciones
Europa;Alemania;36-45;Empresario;Baja; $ 10.835,09 ;Si;Criptomonedas
Europa;Italia;56-65;Ingeniero;Alta; $ 289.442,55 ;Si;Fondos de inversiÃ³n
América Latina;Argentina;36-45;Contador;Media; $ 56.934,12 ;Si;Acciones
Europa;Reino Unido;36-45;Desarrollador;Baja; $ 13.332,92 ;Si;Acciones
América Latina;Perú;46-55;Científico;Baja; $ 12.153,32 ;Si;Bonos
NorteAmérica;EE.UU.;56-65;Funcionario;Alta; $ 114.967,46 ;Si;Criptomonedas
Europa;España;18-25;Funcionario;Alta; $ 100.154,86 ;Si;Acciones
NorteAmérica;EE.UU.;36-45;Científico;Alta; $ 389.994,71 ;Si;Bienes Raíces
América Latina;México;36-45;Ingeniero;Media; $ 71.598,59 ;Si;Acciones
Europa;Países Bajos;66+;Médico;Media; $ 40.990,77 ;Si;Bonos
América Latina;Brasil;56-65;Empresario;Media; $ 50.836,40 ;Si;Bienes Raíces
Europa;Alemania;46-55;Ingeniero;Alta; $ 321.200,43 ;No;No invierte
América Latina;México;56-65;Desarrollador;Media; $ 20.657,12 ;Si;No invierte
Europa;Italia;46-55;Artista;Alta; $ 289.355,88 ;Si;Fondos de inversiÃ³n
Europa;España;18-25;Contador;Baja; $ 14.298,95 ;Si;Bonos
América Latina;Colombia;36-45;Científico;Baja; $ 12.488,17 ;Si;No invierte
América Latina;México;36-45;Médico;Alta; $ 374.027,79 ;Si;Criptomonedas
NorteAmérica;Canadá;46-55;Abogado;Baja; $ 7.859,21 ;Si;Acciones
NorteAmérica;Canadá;46-55;Abogado;Alta; $ 356.313,79 ;Si;Oro
América Latina;Chile;18-25;Ingeniero;Baja; $ 16.618,23 ;Si;Criptomonedas
América Latina;México;18-25;Científico;Baja; $ 13.299,56 ;Si;Bonos
América Latina;Perú;66+;Empresario;Alta; $ 486.169,84 ;Si;Bonos
Europa;España;36-45;Artista;Baja; $ 9.728,77 ;No;No invierte
América Latina;México;18-25;Docente;Alta; $ 135.689,49 ;No;No invierte
América Latina;Argentina;36-45;Médico;Media; $ 43.387,83 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;36-45;Docente;Alta; $ 97.990,27 ;Si;Acciones
Europa;Reino Unido;56-65;Contador;Alta; $ 208.871,93 ;Si;Bonos
Europa;España;66+;Docente;Baja; $ 14.589,93 ;No;No invierte
Europa;Reino Unido;18-25;Docente;Baja; $ 12.223,48 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;66+;Docente;Media; $ 48.862,61 ;Si;Oro
América Latina;Perú;36-45;Docente;Baja; $ 7.295,07 ;Si;Criptomonedas
América Latina;Chile;56-65;Desarrollador;Baja; $ 6.152,78 ;Si;Bonos
Europa;Alemania;46-55;Científico;Alta; $ 280.376,16 ;Si;No invierte
América Latina;Argentina;36-45;Artista;Alta; $ 247.783,70 ;Si;Criptomonedas
Europa;España;66+;Contador;Alta; $ 246.182,17 ;Si;Fondos de inversiÃ³n
NorteAmérica;EE.UU.;26-35;Contador;Baja; $ 18.288,03 ;Si;No invierte
América Latina;Chile;36-45;Contador;Baja; $ 11.703,82 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;56-65;Científico;Media; $ 53.946,01 ;Si;Criptomonedas
Europa;Italia;18-25;Científico;Media; $ 75.686,27 ;Si;Fondos de inversiÃ³n
América Latina;Chile;66+;Artista;Alta; $ 364.123,22 ;Si;Bienes Raíces
Europa;Italia;26-35;Abogado;Media; $ 76.426,73 ;Si;Criptomonedas
América Latina;Chile;46-55;Docente;Baja; $ 5.927,52 ;No;No invierte
NorteAmérica;EE.UU.;18-25;Empresario;Alta; $ 282.253,73 ;Si;Acciones
NorteAmérica;EE.UU.;56-65;Científico;Alta; $ 83.052,50 ;Si;Bienes Raíces
América Latina;Chile;26-35;Docente;Baja; $ 16.322,58 ;No;No invierte
América Latina;México;56-65;Abogado;Media; $ 63.066,52 ;Si;No invierte
Europa;Alemania;46-55;Desarrollador;Media; $ 57.520,25 ;Si;Fondos de inversiÃ³n
Europa;España;56-65;Funcionario;Alta; $ 352.738,13 ;No;No invierte
Europa;Alemania;66+;Funcionario;Media; $ 49.031,39 ;Si;Oro
América Latina;Brasil;56-65;Abogado;Alta; $ 153.029,64 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Desarrollador;Alta; $ 483.721,39 ;Si;Criptomonedas
NorteAmérica;Canadá;26-35;Abogado;Media; $ 32.704,72 ;No;No invierte
América Latina;Chile;66+;Desarrollador;Baja; $ 14.674,78 ;Si;Oro
Europa;España;36-45;Ingeniero;Media; $ 46.091,83 ;Si;Fondos de inversiÃ³n
América Latina;México;56-65;Abogado;Media; $ 75.762,10 ;Si;Oro
América Latina;Perú;18-25;Empresario;Alta; $ 113.707,40 ;Si;Criptomonedas
NorteAmérica;EE.UU.;26-35;Científico;Baja; $ 17.588,01 ;Si;Criptomonedas
Europa;Reino Unido;36-45;Ingeniero;Alta; $ 300.287,56 ;Si;Oro
América Latina;Argentina;46-55;Médico;Baja; $ 5.232,34 ;No;No invierte
América Latina;Brasil;56-65;Médico;Alta; $ 303.555,62 ;Si;No invierte
NorteAmérica;EE.UU.;66+;Médico;Baja; $ 8.329,26 ;Si;Criptomonedas
NorteAmérica;EE.UU.;56-65;Científico;Baja; $ 8.348,08 ;No;No invierte
América Latina;Brasil;56-65;Contador;Baja; $ 17.275,54 ;Si;No invierte
Europa;Francia;56-65;Contador;Alta; $ 296.123,74 ;Si;Bonos
América Latina;Brasil;46-55;Ingeniero;Alta; $ 280.498,71 ;Si;Oro
América Latina;Brasil;26-35;Abogado;Baja; $ 6.409,08 ;Si;Fondos de inversiÃ³n
Europa;España;26-35;Empresario;Baja; $ 10.595,86 ;Si;Acciones
Europa;Países Bajos;36-45;Contador;Baja; $ 13.361,63 ;No;No invierte
América Latina;Perú;26-35;Desarrollador;Alta; $ 172.251,29 ;No;No invierte
Europa;Francia;66+;Científico;Alta; $ 481.982,35 ;Si;Acciones
NorteAmérica;Canadá;26-35;Abogado;Alta; $ 397.598,57 ;Si;Acciones
NorteAmérica;EE.UU.;26-35;Contador;Alta; $ 330.995,36 ;Si;Oro
NorteAmérica;EE.UU.;46-55;Científico;Media; $ 38.267,30 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;66+;Científico;Baja; $ 15.192,37 ;Si;Criptomonedas
NorteAmérica;Canadá;26-35;Desarrollador;Media; $ 38.750,72 ;Si;Fondos de inversiÃ³n
NorteAmérica;Canadá;36-45;Empresario;Baja; $ 11.256,91 ;Si;Bonos
Europa;Francia;36-45;Desarrollador;Alta; $ 164.218,11 ;Si;Oro
Europa;España;18-25;Funcionario;Baja; $ 17.308,55 ;Si;Oro
NorteAmérica;Canadá;18-25;Empresario;Baja; $ 5.805,26 ;Si;No invierte
Europa;Alemania;26-35;Empresario;Baja; $ 19.012,40 ;Si;Bonos
Europa;Alemania;36-45;Ingeniero;Media; $ 71.174,44 ;Si;Acciones
América Latina;Perú;36-45;Abogado;Baja; $ 12.457,91 ;Si;Oro
NorteAmérica;Canadá;46-55;Contador;Alta; $ 343.589,35 ;Si;Bonos
América Latina;Perú;46-55;Empresario;Media; $ 35.583,80 ;Si;No invierte
Europa;Italia;36-45;Abogado;Alta; $ 283.443,07 ;Si;Criptomonedas
Europa;Reino Unido;66+;Abogado;Alta; $ 238.814,01 ;Si;Oro
Europa;Alemania;56-65;Artista;Media; $ 59.792,90 ;Si;No invierte
NorteAmérica;EE.UU.;36-45;Ingeniero;Alta; $ 408.477,87 ;Si;Fondos de inversiÃ³n
Europa;Italia;36-45;Abogado;Alta; $ 236.203,18 ;Si;Bienes Raíces
Europa;Reino Unido;36-45;Abogado;Media; $ 25.677,18 ;No;No invierte
América Latina;Argentina;46-55;Contador;Alta; $ 321.978,32 ;Si;Acciones
NorteAmérica;Canadá;66+;Desarrollador;Alta; $ 425.573,20 ;Si;Fondos de inversiÃ³n
Europa;Reino Unido;66+;Ingeniero;Baja; $ 14.073,44 ;Si;No invierte
América Latina;Brasil;56-65;Funcionario;Baja; $ 7.928,55 ;No;No invierte
Europa;Alemania;66+;Empresario;Baja; $ 10.285,82 ;No;No invierte
América Latina;Brasil;56-65;Contador;Alta; $ 449.050,25 ;Si;Fondos de inversiÃ³n
América Latina;Brasil;56-65;Contador;Baja; $ 5.592,39 ;Si;Oro
América Latina;Chile;18-25;Ingeniero;Baja; $ 11.479,67 ;Si;Bienes Raíces
Europa;Reino Unido;26-35;Abogado;Alta; $ 287.069,48 ;No;No invierte
Europa;Italia;18-25;Contador;Alta; $ 97.650,62 ;Si;Bonos
NorteAmérica;Canadá;56-65;Abogado;Media; $ 60.269,11 ;Si;Fondos de inversiÃ³n
Europa;Italia;56-65;Empresario;Media; $ 73.349,60 ;Si;Criptomonedas
Europa;Francia;46-55;Artista;Alta; $ 258.657,08 ;No;No invierte
América Latina;Brasil;46-55;Empresario;Alta; $ 189.722,77 ;Si;Criptomonedas
Europa;Alemania;56-65;Ingeniero;Media; $ 49.067,68 ;Si;Fondos de inversiÃ³n
Europa;Italia;66+;Ingeniero;Alta; $ 410.295,84 ;Si;Bonos
NorteAmérica;Canadá;36-45;Ingeniero;Baja; $ 14.026,67 ;Si;Criptomonedas
Europa;España;56-65;Funcionario;Baja; $ 10.907,09 ;Si;No invierte
América Latina;Brasil;46-55;Contador;Baja; $ 8.028,11 ;No;No invierte
Europa;Países Bajos;18-25;Desarrollador;Media; $ 56.157,93 ;Si;Oro
Europa;Países Bajos;66+;Artista;Media; $ 71.826,21 ;Si;Fondos de inversiÃ³n
Europa;Alemania;66+;Ingeniero;Baja; $ 7.582,14 ;Si;Fondos de inversiÃ³n
América Latina;México;36-45;Empresario;Baja; $ 5.645,36 ;Si;No invierte
NorteAmérica;EE.UU.;56-65;Empresario;Baja; $ 18.451,69 ;Si;Criptomonedas
América Latina;Perú;26-35;Docente;Media; $ 39.075,33 ;No;No invierte
NorteAmérica;Canadá;26-35;Médico;Media; $ 53.619,00 ;Si;Bonos
NorteAmérica;Canadá;66+;Científico;Alta; $ 280.709,59 ;Si;Bienes Raíces
América Latina;Brasil;56-65;Desarrollador;Alta; $ 81.784,78 ;Si;Fondos de inversiÃ³n
Europa;Francia;56-65;Científico;Alta; $ 142.665,49 ;No;No invierte
Europa;Francia;66+;Docente;Baja; $ 15.961,78 ;Si;Fondos de inversiÃ³n
América Latina;Argentina;46-55;Docente;Media; $ 57.647,59 ;No;No invierte
Europa;Italia;66+;Desarrollador;Baja; $ 9.677,33 ;Si;Bonos
América Latina;Perú;26-35;Ingeniero;Alta; $ 228.291,48 ;Si;No invierte
América Latina;Chile;56-65;Funcionario;Baja; $ 17.909,35 ;No;No invierte
Europa;Países Bajos;18-25;Empresario;Baja; $ 8.542,91 ;Si;Bonos
Europa;Italia;26-35;Médico;Alta; $ 343.260,29 ;Si;Criptomonedas
NorteAmérica;Canadá;56-65;Empresario;Baja; $ 11.616,70 ;Si;No invierte
NorteAmérica;Canadá;36-45;Ingeniero;Baja; $ 11.674,73 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Funcionario;Media; $ 66.856,19 ;No;No invierte
Europa;Alemania;56-65;Desarrollador;Media; $ 59.674,12 ;Si;No invierte
Europa;Italia;18-25;Científico;Media; $ 76.372,95 ;Si;No invierte
NorteAmérica;Canadá;66+;Docente;Alta; $ 101.085,46 ;No;No invierte
América Latina;Chile;46-55;Abogado;Alta; $ 177.915,80 ;No;No invierte
América Latina;Colombia;56-65;Contador;Baja; $ 5.968,82 ;No;No invierte
NorteAmérica;Canadá;66+;Ingeniero;Alta; $ 319.057,18 ;No;No invierte
América Latina;Perú;46-55;Ingeniero;Media; $ 20.681,14 ;Si;No invierte
NorteAmérica;Canadá;26-35;Funcionario;Media; $ 47.296,65 ;No;No invierte
NorteAmérica;Canadá;56-65;Contador;Media; $ 34.796,92 ;No;No invierte
NorteAmérica;Canadá;56-65;Contador;Media; $ 26.133,75 ;Si;No invierte
América Latina;Perú;26-35;Abogado;Media; $ 54.783,89 ;Si;No invierte
NorteAmérica;Canadá;26-35;Científico;Media; $ 25.142,76 ;Si;No invierte
NorteAmérica;EE.UU.;56-65;Empresario;Alta; $ 351.303,51 ;Si;Oro
NorteAmérica;Canadá;18-25;Desarrollador;Baja; $ 5.003,37 ;Si;Bienes Raíces
Europa;Italia;26-35;Docente;Media; $ 43.803,46 ;Si;Acciones
NorteAmérica;Canadá;56-65;Científico;Alta; $ 113.280,53 ;Si;Oro
Europa;Reino Unido;66+;Artista;Baja; $ 15.306,22 ;No;No invierte
América Latina;Chile;36-45;Ingeniero;Baja; $ 10.099,02 ;Si;Bienes Raíces
Europa;Francia;18-25;Empresario;Media; $ 74.731,18 ;Si;Acciones
NorteAmérica;Canadá;26-35;Médico;Baja; $ 14.315,18 ;Si;Fondos de inversiÃ³n
América Latina;Brasil;26-35;Desarrollador;Media; $ 76.596,30 ;Si;Bonos
América Latina;Colombia;26-35;Contador;Baja; $ 11.524,71 ;Si;Fondos de inversiÃ³n
Europa;Francia;66+;Ingeniero;Media; $ 27.718,62 ;Si;Oro
América Latina;Chile;18-25;Artista;Alta; $ 324.585,56 ;Si;No invierte
América Latina;Perú;26-35;Funcionario;Media; $ 54.258,10 ;No;No invierte
NorteAmérica;EE.UU.;26-35;Desarrollador;Baja; $ 19.052,97 ;No;No invierte
NorteAmérica;EE.UU.;66+;Contador;Alta; $ 395.751,81 ;No;No invierte
Europa;Italia;46-55;Contador;Baja; $ 5.438,52 ;No;No invierte
NorteAmérica;Canadá;36-45;Contador;Media; $ 60.248,17 ;Si;Criptomonedas
NorteAmérica;Canadá;56-65;Científico;Media; $ 42.931,31 ;Si;Fondos de inversiÃ³n
América Latina;Perú;18-25;Científico;Media; $ 65.952,23 ;No;No invierte
Europa;Reino Unido;56-65;Contador;Baja; $ 17.307,83 ;Si;Acciones
NorteAmérica;Canadá;46-55;Funcionario;Alta; $ 447.230,60 ;Si;Oro
Europa;Países Bajos;36-45;Docente;Media; $ 47.020,52 ;Si;Bienes Raíces
NorteAmérica;Canadá;26-35;Abogado;Baja; $ 8.284,50 ;Si;Bonos
Europa;Reino Unido;26-35;Docente;Media; $ 76.680,72 ;Si;Bonos
Europa;Reino Unido;46-55;Funcionario;Alta; $ 238.383,31 ;No;No invierte
Europa;Francia;36-45;Médico;Baja; $ 6.145,68 ;No;No invierte
Europa;Francia;56-65;Médico;Media; $ 30.364,29 ;No;No invierte
Europa;España;66+;Abogado;Baja; $ 15.351,39 ;Si;Criptomonedas
NorteAmérica;EE.UU.;46-55;Desarrollador;Media; $ 65.994,94 ;Si;Bonos
América Latina;Brasil;36-45;Artista;Baja; $ 19.112,36 ;No;No invierte
Europa;Francia;18-25;Desarrollador;Media; $ 74.876,81 ;No;No invierte
NorteAmérica;Canadá;26-35;Científico;Alta; $ 144.247,76 ;No;No invierte
América Latina;Chile;18-25;Empresario;Baja; $ 5.336,09 ;No;No invierte
América Latina;Argentina;66+;Artista;Media; $ 38.347,87 ;No;No invierte
NorteAmérica;Canadá;26-35;Docente;Baja; $ 6.239,25 ;Si;No invierte
Europa;Reino Unido;36-45;Médico;Baja; $ 18.463,03 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;36-45;Contador;Baja; $ 11.668,83 ;Si;No invierte
América Latina;Chile;46-55;Ingeniero;Media; $ 27.230,75 ;No;No invierte
NorteAmérica;EE.UU.;56-65;Docente;Alta; $ 312.048,95 ;Si;No invierte
NorteAmérica;Canadá;18-25;Ingeniero;Baja; $ 13.959,62 ;No;No invierte
Europa;Países Bajos;18-25;Contador;Media; $ 31.162,72 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;56-65;Funcionario;Alta; $ 377.985,18 ;Si;Bonos
NorteAmérica;EE.UU.;56-65;Funcionario;Media; $ 30.579,32 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;18-25;Médico;Baja; $ 17.322,62 ;Si;Oro
Europa;Francia;36-45;Docente;Baja; $ 14.108,84 ;Si;Acciones
Europa;Italia;56-65;Artista;Alta; $ 142.670,88 ;No;No invierte
América Latina;Chile;56-65;Abogado;Alta; $ 387.691,59 ;No;No invierte
Europa;España;36-45;Médico;Alta; $ 460.685,26 ;Si;Bienes Raíces
Europa;España;56-65;Abogado;Alta; $ 373.614,78 ;Si;Bienes Raíces
Europa;Reino Unido;46-55;Ingeniero;Baja; $ 13.818,75 ;Si;Criptomonedas
Europa;Francia;26-35;Contador;Baja; $ 17.606,22 ;Si;Bonos
Europa;Reino Unido;56-65;Abogado;Baja; $ 6.323,18 ;Si;Acciones
América Latina;México;26-35;Desarrollador;Media; $ 67.714,69 ;Si;Bienes Raíces
Europa;Italia;26-35;Docente;Alta; $ 464.481,62 ;Si;Acciones
Europa;Francia;56-65;Desarrollador;Alta; $ 307.509,86 ;No;No invierte
América Latina;Chile;46-55;Abogado;Baja; $ 11.952,67 ;No;No invierte
Europa;Francia;46-55;Desarrollador;Alta; $ 375.358,94 ;No;No invierte
América Latina;Chile;18-25;Abogado;Alta; $ 325.613,29 ;No;No invierte
Europa;Países Bajos;18-25;Científico;Media; $ 41.160,86 ;Si;Bienes Raíces
Europa;Francia;56-65;Médico;Media; $ 27.382,80 ;Si;Oro
América Latina;México;36-45;Ingeniero;Alta; $ 218.765,84 ;Si;Oro
NorteAmérica;EE.UU.;26-35;Empresario;Alta; $ 120.198,48 ;No;No invierte
América Latina;Argentina;56-65;Científico;Media; $ 65.105,22 ;Si;Fondos de inversiÃ³n
Europa;Países Bajos;18-25;Médico;Alta; $ 330.736,80 ;Si;No invierte
América Latina;Perú;36-45;Empresario;Alta; $ 466.679,25 ;Si;No invierte
Europa;España;46-55;Docente;Media; $ 52.238,08 ;Si;No invierte
Europa;Países Bajos;36-45;Científico;Baja; $ 15.109,74 ;No;No invierte
América Latina;Chile;36-45;Empresario;Media; $ 53.300,71 ;Si;Oro
Europa;Países Bajos;36-45;Ingeniero;Media; $ 26.827,97 ;Si;Bonos
NorteAmérica;EE.UU.;56-65;Abogado;Alta; $ 134.627,75 ;No;No invierte
Europa;Italia;18-25;Ingeniero;Alta; $ 293.672,14 ;No;No invierte
Europa;Italia;66+;Empresario;Alta; $ 359.601,70 ;No;No invierte
NorteAmérica;Canadá;18-25;Desarrollador;Baja; $ 15.787,45 ;Si;Oro
Europa;Países Bajos;18-25;Empresario;Baja; $ 5.816,64 ;Si;Criptomonedas
América Latina;Colombia;36-45;Contador;Baja; $ 11.544,37 ;Si;Oro
América Latina;Perú;26-35;Desarrollador;Media; $ 41.898,60 ;No;No invierte
Europa;Francia;46-55;Artista;Alta; $ 230.502,44 ;No;No invierte
Europa;España;66+;Desarrollador;Baja; $ 9.801,47 ;No;No invierte
América Latina;Colombia;56-65;Artista;Baja; $ 17.766,24 ;No;No invierte
